"Record.Date","Average.Interest.Rate.Amount"
"2021-10-31",3.116
"2021-09-30",3.124
"2021-08-31",3.145
"2021-07-31",3.196
"2021-06-30",3.208
"2021-05-31",3.236
"2021-04-30",3.264
"2021-03-31",3.282
"2021-02-28",3.315
"2021-01-31",3.364
"2020-12-31",3.377
"2020-11-30",3.411
"2020-10-31",3.474
"2020-09-30",3.49
"2020-08-31",3.529
"2020-07-31",3.622
"2020-06-30",3.66
"2020-05-31",3.716
"2020-04-30",3.764
"2020-03-31",3.784
"2020-02-29",3.803
"2020-01-31",3.841
"2019-12-31",3.852
"2019-11-30",3.863
"2019-10-31",3.88
"2019-09-30",3.892
"2019-08-31",3.903
"2019-07-31",3.959
"2019-06-30",3.969
"2019-05-31",3.979
"2019-04-30",3.991
"2019-03-31",3.999
"2019-02-28",4.006
"2019-01-31",4.047
"2018-12-31",4.055
"2018-11-30",4.061
"2018-10-31",4.085
"2018-09-30",4.09
"2018-08-31",4.097
"2018-07-31",4.107
"2018-06-30",4.115
"2018-05-31",4.122
"2018-04-30",4.149
"2018-03-31",4.156
"2018-02-28",4.162
"2018-01-31",4.172
"2017-12-31",4.18
"2017-11-30",4.188
"2017-10-31",4.2
"2017-09-30",4.208
"2017-08-31",4.217
"2017-07-31",4.257
"2017-06-30",4.266
"2017-05-31",4.275
"2017-04-30",4.324
"2017-03-31",4.333
"2017-02-28",4.34
"2017-01-31",4.352
"2016-12-31",4.362
"2016-11-30",4.37
"2016-10-31",4.417
